Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
1_3-Methylhistidine.high.yeast,Female,Metabolome,Mean relative 1/3-Methylhistidine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.59,0.79,0.26,0.16,0.32,0.17,0.25
1_3-Methylhistidine.low.yeast,Female,Metabolome,Mean relative 1/3-Methylhistidine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.16,0.68,0.84,0.19,0.17,0.33,0.18,0.23
1-Methyladenosine.high.yeast,Female,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.71,0.85,0.17,0.17,0.33,0.18,0.23
1-Methyladenosine.low.yeast,Female,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.07,0.85,0.93,0.08,0.15,0.31,0.18,0.17
1-Methylguanosine.high.yeast,Female,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.05,0.9,0.95,0.05,0.15,0.31,0.18,0.16
1-Methylguanosine.low.yeast,Female,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.02,0.97,0.98,0.02,0.14,0.3,0.18,0.15
13-HODE.high.yeast,Female,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.46,0,0.46,1,0.13,0.22,0.11,0.48
13-HODE.low.yeast,Female,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.03,0.94,0.97,0.03,0.16,0.34,0.19,0.17
2-Hydroxyglutarate.high.yeast,Female,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.71,0.85,0.17,0.17,0.33,0.18,0.22
2-Hydroxyglutarate.low.yeast,Female,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.25,1.25,0,0.22,0.44,0.25,0.17
2-Phosphoglyceric.acid.high.yeast,Female,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.03,1.03,0,0.21,0.43,0.24,0.2
2-Phosphoglyceric.acid.low.yeast,Female,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.11,1.11,0,0.18,0.37,0.21,0.16
2.3-butanedione.olfactory.attraction,Female,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0,1.2,1.2,0,0.33,0.68,0.36,0.28
2.3-butanedione.olfactory.attraction,Male,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.04,0.93,0.97,0.04,0.21,0.44,0.24,0.23
2.3-butanedione.olfactory.latency.30.percentile,Female,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0,1.24,1.24,0,0.28,0.58,0.31,0.23
