Trait,Sex,Trait guild,Trait description,Reference
mitochondrial.state.3.respiration.f,Female,Physiological,"Mean mitochondrial state 3 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 3 respiration occurs when protons re-enter the mitochondrial matrix in the presence of ADP, which results in the production of ATP. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics
mitochondrial.state.3.respiration.m,Male,Physiological,"Mean mitochondrial state 3 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 3 respiration occurs when protons re-enter the mitochondrial matrix in the presence of ADP, which results in the production of ATP. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics
mitochondrial.state.4.respiration.f,Female,Physiological,"Mean mitochondrial state 4 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 4 respiration occurs when protons leak into the mitochondrial matrix in the absence of ADP, which is required for ATP synthase. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics
mitochondrial.state.4.respiration.m,Male,Physiological,"Mean mitochondrial state 4 respiration rate, measured as oxygen consumption (pmol/s* mg of protein). Mitochondria were sourced from the thorax and respiration was measured in vitro. State 4 respiration occurs when protons leak into the mitochondrial matrix in the absence of ADP, which is required for ATP synthase. Higher values indicate higher respiration rates.",Jumbo-Lucioni et al (2012) BMC Genomics
mitochondrial.PO.ratio.f,Female,Physiological,Mean phosphate/oxygen ratio (P:O ratio) - a measure of the efficiency with which mitochondria convert oxygen into ATP. The ratio was here calculated as the amount of ADP consumed per oxygen being reduced during state 3 respriation. Mitochondria were sourced from the thorax and respiration was measured in vitro. Higher values indicate more efficient ATP production.,Jumbo-Lucioni et al (2012) BMC Genomics
mitochondrial.PO.ratio.m,Male,Physiological,Mean phosphate/oxygen ratio (P:O ratio) - a measure of the efficiency with which mitochondria convert oxygen into ATP. The ratio was here calculated as the amount of ADP consumed per oxygen being reduced during state 3 respriation. Mitochondria were sourced from the thorax and respiration was measured in vitro. Higher values indicate more efficient ATP production.,Jumbo-Lucioni et al (2012) BMC Genomics
T1.leg.length.f,Female,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T1.leg.length.m,Male,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T2.leg.length.f,Female,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T2.leg.length.m,Male,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T1.femur.f,Female,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T1.femur.m,Male,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T2.femur.f,Female,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T2.femur.m,Male,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T1.tibia.f,Female,Morphological,"Mean tibia length, for legs originating on the first thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T1.tibia.m,Male,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T2.tibia.f,Female,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T2.tibia.m,Male,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T1.tarsus.f,Female,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T1.tarsus.m,Male,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T2.tarsus.f,Female,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T2.tarsus.m,Male,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
weight.anexic.m,Male,Microbiome,Mean combined dry weight of 5 adult flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate heavier flies.,Dobson et al (2015) Nature Communications
weight.gnotobiotic.m,Male,Microbiome,"Mean combined dry weight of 5 adult flies that possessed a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate heavier flies.",Dobson et al (2015) Nature Communications
weight.microbiome.effect.m,Male,Microbiome,"Mean change in the combined dry weight of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota had a greater positive effect on weight. Note that the presence of micriobiota on average increased dry weight.",Dobson et al (2015) Nature Communications
glucose.anexic.m,Male,Microbiome,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.gnotobiotic.m,Male,Microbiome,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications
glucose.microbiome.effect.m,Male,Microbiome,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Dobson et al (2015) Nature Communications
glycogen.anexic.m,Male,Microbiome,"Mean combined glycogen content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glycogen content.",Dobson et al (2015) Nature Communications
glycogen.gnotobiotic.m,Male,Microbiome,"Mean combined glycogen content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glycogen content.",Dobson et al (2015) Nature Communications
glycogen.microbiome.effect.m,Male,Microbiome,"Mean change in the combined glycogen content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glycogen content. Note that the presence of micriobiota on average increased glycogen content.",Dobson et al (2015) Nature Communications
protein.anexic.m,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications
protein.gnotobiotic.m,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications
protein.microbiome.effect.m,Male,Microbiome,"Mean change in the combined protein content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher protein content. Note that the presence of micriobiota on average increased protein content.",Dobson et al (2015) Nature Communications
