"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"1-Methyladenosine.high.yeast.f","178","Female","Metabolome","Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"1-Methyladenosine.low.yeast.f","178","Female","Metabolome","Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"1-Methylguanosine.high.yeast.f","178","Female","Metabolome","Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"1-Methylguanosine.low.yeast.f","178","Female","Metabolome","Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"1/3-Methylhistidine.high.yeast.f","178","Female","Metabolome","Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"1/3-Methylhistidine.low.yeast.f","178","Female","Metabolome","Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"13-HODE.high.yeast.f","178","Female","Metabolome","Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"13-HODE.low.yeast.f","178","Female","Metabolome","Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"2-Hydroxyglutarate.high.yeast.f","178","Female","Metabolome","Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"2-Hydroxyglutarate.low.yeast.f","178","Female","Metabolome","Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
